Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2023-10-30,36.1617063002857,36.210444730101145,35.849799684211675,35.97651290893555,30506700,415.5899963378906,,,,,,,,,0,,
2023-10-31,35.68410372270711,35.79132232756658,35.48916114280084,35.771827697753906,37734300,418.20001220703125,45.0,,,3.0,,,,,1,,
2023-11-01,35.76207529442261,36.12272033606012,35.7230897565381,36.10322570800781,27879300,422.6600036621094,46.0,,,1.0,,,,,0,,
2023-11-02,36.63931646264815,36.76602969105521,36.522352407775614,36.736785888671875,33661400,430.760009765625,51.0,,,1.0,,,,,0,,
2023-11-03,37.22414040512042,37.56529083218476,37.204645776297866,37.48731231689453,41736500,434.69000244140625,58.0,,,1.0,,,,,0,,
2023-11-06,37.97466788869409,38.00391169181268,37.74073977306752,37.78947448730469,32347100,435.69000244140625,58.0,,,1.0,,,,,0,,
2023-11-07,37.55554232319807,37.75048489665282,37.380094378910826,37.72124481201172,18218400,436.92999267578125,57.0,,,1.0,,,,,0,,
2023-11-08,37.49706301740204,37.64326716219466,37.389844413621866,37.46781921386719,18963500,437.25,57.0,,,1.0,,,,,0,,
2023-11-09,37.448321810157545,37.55554040599519,37.068185856347824,37.11692428588867,25631100,433.8399963378906,58.0,,,1.0,,,,,0,,
2023-11-10,37.1169244350164,37.38009262084961,37.05844055026449,37.38009262084961,18540300,440.6099853515625,58.0,,,1.0,,,,,0,,
2023-11-13,37.253382021484164,37.51655391781569,37.17540351076962,37.37034606933594,23437400,440.19000244140625,57.0,,,1.0,,,,,0,,
2023-11-14,37.93567715188419,38.42303171170729,37.92593169670462,38.36455154418945,66042500,448.7300109863281,66.0,,,1.0,,,,,0,,
2023-11-15,38.68620681762695,38.90064403150289,38.59848284087957,38.68620681762695,43281700,449.67999267578125,66.0,,,1.0,,,,,0,,
2023-11-16,38.2475894422226,38.491266734565905,38.15011629435303,38.315818786621094,22868300,450.2300109863281,67.0,,,1.0,,,,,1,,
